imageID,prediction,confidence
05a5d113-86d5-4ed4-b845-b77d421e72ed.jpg,Bunchy top,0.4533
05bb27ff-f39e-4a89-87df-300637dfcc39.jpg,Bunchy top,0.6677
05bb615d-de30-46ec-ab34-40d186ce5115.jpg,Black sigatoka,0.4504
05db323e-90f3-4df4-9cd1-2772911d8b4d.jpg,Healthy,0.4063
05f683ab-da3f-4eff-bcd7-7509e8e3b44c.jpg,Black sigatoka,0.8666
05feb5f3-85cd-43f6-8145-15db430107d1.jpg,Healthy,0.7103
060c4e11-c002-4b2c-a45f-502468642754.jpg,Healthy,0.8908
062e0221-12d2-435f-bfd6-09dd76c918f1.jpg,Black sigatoka,0.7124
063fca0b-5ebf-4d08-9a4d-5b84dc215dba.jpg,Healthy,0.3549
06575e6a-ff98-423e-8d79-92e9a58e059f.jpg,Healthy,0.7699
06604ca8-5ef4-4a2b-bffc-76d9b36aa7dc.jpg,Healthy,0.5115
068cb041-04ae-4ead-a9c5-ce814cb3404f.jpg,Bunchy top,0.9038
06cc6579-2045-44ae-a75d-69faeafe239f.jpg,Bunchy top,0.9077
06cceaed-feb8-4c84-b330-6fb2682cb141.jpg,Healthy,0.9441
06d523b4-f132-495a-b5a6-4c5727ce7b18.jpg,Healthy,0.9192
06f738e9-c0ae-48d5-836a-0f0c53ae97a0.jpg,Healthy,0.9405
06f8c916-32f5-45e1-a697-a63154c08c07.jpg,Black sigatoka,0.8817
06fb0e6a-9038-471a-b1fc-1f3744284067.jpg,Healthy,0.8570
0710d768-cbdf-4b77-86ad-567bd08cb60a.jpg,Black sigatoka,0.9269
07169301-c84f-4659-a2da-3bad417f02be.jpg,Healthy,0.8588
